作物编号,作物名称,具体品种名,植物拉丁学名,作物品类,适生季节型,适用栽培设施,采收模式,最适昼温(℃),最适夜温(℃),最适水温(℃),耐高温极限(℃),耐低温极限(℃),最适营养液EC浓度(mS/cm),最适酸碱度pH范围,最低溶解氧DO(mg/L),顶烧病(缺钙)敏感度,分子氨耐受能力,最适日累积光照DLI(mol/m²/天),光周期日照时长(小时/天),光饱和点(Lux),育苗周期(天),定植生长期(天),全生命周期总天数(天),建议定植株距(cm),定植密度(株/㎡),预期单茬产量(kg/㎡),目标糖度(Brix°),出厂最低合格糖度(Brix°),最适糖酸比,硝酸盐控制上限(mg/kg),亚硝酸盐控制上限(mg/kg),化学农药残留要求,安全限值法定法规依据,口感质构特征,风味纯化与苦涩味抑制技术,核心营养与功效成分概要,相克共线禁忌作物,农艺生产与排产备注
crop_watercress,西洋菜 (豆瓣菜),广府大叶西洋菜,Nasturtium officinale,水生草本植物,冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道,割茬连续多次采收,18.0~22.0,12.0~16.0,16.0~20.0,25.0,8.0,1.4~1.8,6.2~6.8,6.5,低敏感,高耐受度,14.0~18.0,12.0~14.0,35000,10,28,38,15.0,36.0,4.5,3.2,2.2,-,2500.0,2.0,ND (Not Detected，纯物理/天敌防虫与水生生态循环，化学农药零检出),Commission Regulation (EU) 2021/1323 & GB 2762-2022,茎秆脆嫩中空、汁水丰盈、入口无纤维丝感,采收前微调水温与EC，维持纯正西洋菜清香与柔和芥末辛香，抑制纤维木质化,维生素C (抗坏血酸): 目标55.0 mg/100g(鲜重)；铁元素 (Fe): 目标3.2 mg/100g(鲜重)；硫代葡萄糖苷 (萝卜硫素前体): 目标110.0 mg/100g(鲜重),crop_watermelon、crop_cucumber_dutch,权威水生宿根植物；适温15~20℃，水温>23℃或气温>25℃迅速纤维化并抽薹开白花；深水跑道/菜池富氧下白根极旺，需高溶氧(DO≥6.5mg/L)
crop_butterhead_lettuce,奶油生菜 (波士顿/黄油生菜),萨拉诺瓦绿奶油 (Salanova Green Butter),Lactuca sativa var. capitata,散叶/结球生菜 (莴苣属),冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,整株一次性切根采收,19.0~22.0,13.0~16.0,16.0~20.0,24.0,5.0,1.2~1.6,5.8~6.5,6.8,高敏感 (需补钙),耐受度低 (要求硝化彻底),14.0~17.0,12.0~14.0,32000,14,32,46,20.0,24.0,3.8,3.8,2.8,-,2500.0,2.0,ND (Not Detected，天敌昆虫与防虫网物理防治),Commission Regulation (EU) 2021/1323 (温室夏季生菜上限4000mg/kg，基地严控≤2500),叶质柔嫩致密，如黄油般丝滑软糯，沙拉生食无渣,避免高温诱导莴苣素积累，采收前48h降温控氮，口感温润无苦味,维生素C: 目标22.0 mg/100g(鲜重)；天然叶酸: 目标75.0 μg/100g(鲜重)；莴苣苦素 (苦味物质限量指标): 目标0.05 mg/g(干重),crop_water_spinach、crop_watermelon,沙拉四大金刚之一，叶肉丝滑柔嫩，清甜多汁，采收前48h降温促糖
crop_red_oakleaf_lettuce,红橡叶生菜 (红沙拉/红罗莎),萨拉诺瓦红橡 (Salanova Red Oakleaf),Lactuca sativa var. crispa,散叶/结球生菜 (莴苣属),冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,整株一次性切根采收,18.0~22.0,12.0~15.0,16.0~20.0,24.0,5.0,1.2~1.5,5.8~6.4,6.5,中等敏感,耐受度低 (要求硝化彻底),15.0~18.0,12.0~14.0,35000,14,30,44,20.0,24.0,3.2,4.0,2.8,-,3000.0,2.0,ND (Not Detected),Commission Regulation (EU) 2021/1323 & NY/T 743-2020,波浪齿缘蓬松轻盈，质地娇嫩清脆，摆盘立体感强,强光温差诱导花青素累积同时不增加单宁涩味,花青素: 目标16.5 mg/100g(鲜重)；维生素C: 目标24.0 mg/100g(鲜重),crop_water_spinach、crop_watermelon,沙拉颜值担当，富含花青素，强光与昼夜温差可促进红艳着色
crop_green_oakleaf_lettuce,绿橡叶生菜 (绿珊瑚/散叶沙拉),萨拉诺瓦绿橡 (Salanova Green Oakleaf),Lactuca sativa var. crispa,散叶/结球生菜 (莴苣属),冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,整株一次性切根采收,19.0~23.0,13.0~16.0,17.0~20.0,25.0,6.0,1.3~1.6,5.8~6.5,6.5,中等敏感,耐受度低 (要求硝化彻底),14.0~17.0,12.0~14.0,32000,14,28,42,20.0,24.0,3.5,3.8,2.8,-,2800.0,2.0,ND (Not Detected),Commission Regulation (EU) 2021/1323,叶缘裂齿波浪舒展，咬感松脆多汁,清甜微甘，零涩味，适宜免洗直接生拌,叶黄素: 目标2.8 mg/100g(鲜重)；维生素C: 目标20.0 mg/100g(鲜重),crop_water_spinach,沙拉蓬松度骨架，翠绿如橡叶，吸汁力极强
crop_romaine_lettuce,罗马生菜 (凯撒生菜/长叶生菜),直立绿罗马 (Verte Maraichere),Lactuca sativa var. longifolia,散叶/结球生菜 (莴苣属),冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,整株一次性切根采收,18.0~22.0,12.0~15.0,16.0~19.0,24.0,5.0,1.4~1.8,6.0~6.6,6.8,极高敏感 (严防心腐),耐受度低 (要求硝化彻底),15.0~18.0,12.0~14.0,36000,14,35,49,22.0,20.0,4.2,4.2,3.0,-,2500.0,2.0,ND (Not Detected),Commission Regulation (EU) 2021/1323,中肋叶脉厚实粗壮，折断清脆声响亮，凯撒沙拉经典硬脆质感,避免高温期快速抽薹导致的苦汁生成，保持主脉清甜爽口,β-胡萝卜素: 目标1800.0 μg/100g(鲜重)；维生素C: 目标26.0 mg/100g(鲜重),crop_water_spinach、crop_watermelon,凯撒沙拉灵魂，叶柄爽脆多汁，对钙极为敏感，必须强化跑道垂直对流
crop_sabah_snake_grass,忧遁草 (优盾草/鳄嘴花/青箭草/沙巴蛇草),华南大叶优盾草 (特选扦插苗),Clinacanthus nutans,药食同源功能蔬菜,四季广温型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,割茬连续多次采收,22.0~28.0,16.0~20.0,20.0~25.0,35.0,10.0,1.5~2.2,6.0~7.0,5.5,低敏感,高耐受度,12.0~16.0,10.0~12.0,30000,20,35,55,18.0,28.0,2.8,3.0,2.0,-,2000.0,2.0,ND (零农残，药食同源严格保护),海南省食品安全地方标准 DBS 46/002-2019 & 《中国药典》,嫩茎嫩叶脆嫩少筋，焯水后质地润滑,水培嫩梢叶片草青气柔和无刺鼻腥味，煮汤/打青汁滑润甘平,总黄酮 (以芦丁计): 目标550.0 mg/100g(干重)；粗蛋白质: 目标21.0 g/100g(干重)；三萜类化合物 (羽扇豆醇等): 目标18.0 mg/g(干重),,权威热带亚热带中草药蔬菜；富含总黄酮、羽扇豆醇与多酚；适温22~28℃，低于12℃休眠；耐氨氮与高EC能力强，剪取嫩梢连续采收，是华南高端养生青汁与药膳的核心单品
crop_xuetongcai,血通菜 (宽叶十万错/活力菜/赤道樱草),华南栽培型宽叶十万错 (特选丰产系),Asystasia gangetica subsp. micrantha,药食同源功能蔬菜,四季广温型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,割茬连续多次采收,20.0~26.0,14.0~18.0,18.0~24.0,32.0,8.0,1.4~2.0,6.0~6.8,6.0,低敏感,中等耐受,12.0~16.0,10.0~12.0,30000,15,28,43,18.0,28.0,3.2,3.5,2.5,-,2500.0,2.0,ND (Not Detected),NY/T 743-2020 & 绿色食品标准,叶肉肥厚多汁，滑炒脆嫩，口感似豆苗与木耳菜结合体,采收前控温，避免单宁积累，保持清甜原汁原味,铁元素 (Fe): 目标3.8 mg/100g(鲜重)；β-胡萝卜素: 目标4200.0 μg/100g(鲜重)；维生素C: 目标38.0 mg/100g(鲜重),,【权威辨析】：华南及港台现代有机农场与水培温室中，“血通菜”官方学名为爵床科十万错属【宽叶十万错】（又名活力菜、赤道樱草）；因富含类胡萝卜素、维生素E及铁元素，具散瘀通脉之称故名“血通菜”。（注：民间偶有将菊科紫背菜混称者，但现代设施栽培标准物种为本爵床科无毒优良品系）。生长极快，20~25天割一茬嫩梢
crop_gynura_divaricata,片仔癀草 (白凤菜/白背三七/肝炎草),漳州农家白凤菜,Gynura divaricata,药食同源功能蔬菜,四季广温型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道、A字架立体基质架,割茬连续多次采收,20.0~26.0,15.0~18.0,18.0~24.0,32.0,8.0,1.4~2.0,6.0~6.8,6.0,低敏感,中等耐受,12.0~15.0,10.0~12.0,28000,18,30,48,20.0,24.0,3.0,3.0,2.0,-,2000.0,2.0,ND (Not Detected),【特别毒理警戒】含微量双稠吡咯啶生物碱(PA)，出厂严格标注熟食/焯水食用，不可过量生食；限值遵从 EFSA & 卫生标准,叶背带短绒毛，熟制后软糯鲜滑,焯水后草酸与生物碱显著降低，微咸鲜香，滑润温和,总黄酮: 目标420.0 mg/100g(干重)；绿原酸: 目标180.0 mg/100g(干重),,【权威药理与食安红线】：福建漳州民间因其清热凉血消肿、功效方向与名贵中成药片仔癀相似而俗称“片仔癀草”（但二者并无植物源关系）；属菊三七属，含微量双稠吡咯啶生物碱(PA)，不可生食沙拉，严禁过量天天连续单吃，必须焯水熟食、煲汤或煮水饮用
crop_choy_sum,广东菜心 (油青菜心),四九油青菜心 (特选),Brassica rapa var. parachinensis,十字花科绿叶菜,冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道,整株一次性切根采收,18.0~24.0,12.0~16.0,18.0~22.0,28.0,6.0,1.5~2.0,6.0~6.8,6.5,中等敏感,中等耐受,14.0~18.0,11.0~13.0,35000,10,26,36,15.0,36.0,3.6,4.6,3.5,-,2000.0,2.0,ND (零化学农药检出，绿色食品最高等级),NY/T 743-2020《绿色食品 绿叶类蔬菜》,菜薹肥壮挺拔、清脆脆爽、一折即断、无渣无筋,水肥平衡抑制过量芥子油苷苦味，清甜回甘浓郁,维生素C: 目标48.0 mg/100g(鲜重)；粗纤维 (低纤维控渣指标): 目标0.75 g/100g(鲜重)；钙元素 (Ca): 目标110.0 mg/100g(鲜重),,广东家庭刚需餐桌顶流，水培60目防虫网杜绝菜青虫，做到0农残免洗
crop_spinach,大叶菠菜 (水培甜菠菜),日本大叶耐寒菠菜,Spinacia oleracea,特色绿叶菜类,冷凉喜凉型,刀刮布落地水培菜池、不锈钢离地水培菜池、通用水培深水池、浅液流水培管道,整株一次性切根采收,16.0~20.0,10.0~14.0,15.0~18.0,23.0,3.0,1.4~1.8,6.2~7.0,7.0,低敏感,耐受度低 (要求硝化彻底),12.0~16.0,10.0~12.0,30000,12,30,42,15.0,36.0,3.0,6.8,5.0,-,3000.0,2.0,ND (Not Detected),Commission Regulation (EU) 2021/1323 (菠菜温室限值3500mg/kg，基地控在3000以内),叶肉肥厚平滑、脆嫩多汁，甘甜浓郁,【品质核心】采收前48h断氮纯水循环并配合根区冷水低温，阻断草酸合成并诱导细胞蓄糖，生食完全不涩牙,草酸 (涩味与结石风险控制限量): 目标380.0 mg/100g(鲜重)；维生素C: 目标42.0 mg/100g(鲜重)；铁元素 (Fe): 目标3.1 mg/100g(鲜重),crop_water_spinach,极怕高温与水温过高，冬春专属；水培根白无泥沙，叶酸极其丰富
