作物编号,作物名称,具体品种品系,营养与功能性成分,成分英文标识,基地调控目标值,传统土培参考基线,计量单位,形态计算基准,当前检测实施阶段,权威检测依据与文献出处,营养健康价值与提质机理说明
crop_watercress,西洋菜 (豆瓣菜),广府大叶西洋菜,维生素C (抗坏血酸),vitamin_c,55.0,45.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (植物性食物编码 04-2-001),水生草本天然高维C，高效抗氧化并促进铁吸收
crop_watercress,西洋菜 (豆瓣菜),广府大叶西洋菜,铁元素 (Fe),iron,3.2,2.5,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册,参与血红蛋白合成，水培螯合态微肥促进吸收
crop_watercress,西洋菜 (豆瓣菜),广府大叶西洋菜,硫代葡萄糖苷 (萝卜硫素前体),glucosinolates,110.0,85.0,mg/100g,鲜重 (直接食用形态),理论攻关与战略储备 (中长期光配方研发),USDA FoodData Central & Journal of Agricultural and Food Chemistry (2018),特有辛香风味源，植物次生代谢关键抗氧化与细胞保护物质
crop_butterhead_lettuce,奶油生菜 (波士顿/黄油生菜),萨拉诺瓦绿奶油 (Salanova Green Butter),维生素C,vitamin_c,22.0,13.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-014),蓝光与适当温差刺激内源抗坏血酸合成
crop_butterhead_lettuce,奶油生菜 (波士顿/黄油生菜),萨拉诺瓦绿奶油 (Salanova Green Butter),天然叶酸,folate,75.0,48.0,μg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国居民膳食营养素参考摄入量》(DRIs 2023版) & USDA FoodData Central,绿叶蔬菜核心B族维生素，孕妇及日常细胞代谢必需
crop_butterhead_lettuce,奶油生菜 (波士顿/黄油生菜),萨拉诺瓦绿奶油 (Salanova Green Butter),莴苣苦素 (苦味物质限量指标),lactucopicrin,0.05,0.15,mg/g,干重 (烘干脱水干样),理论攻关与战略储备 (中长期光配方研发),Phytochemistry (2015) 莴苣属倍半萜内酯风味测定文献,水培低苦味控制关键生化指标，目标值低于人类舌尖苦感阈值
crop_red_oakleaf_lettuce,红橡叶生菜 (红沙拉/红罗莎),萨拉诺瓦红橡 (Salanova Red Oakleaf),花青素,anthocyanin,16.5,7.2,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB/T 35883-2018 & Journal of Photochemistry and Photobiology (2020),深紫红叶色来源，高效清除自由基抗氧化天然色素
crop_red_oakleaf_lettuce,红橡叶生菜 (红沙拉/红罗莎),萨拉诺瓦红橡 (Salanova Red Oakleaf),维生素C,vitamin_c,24.0,14.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册,高光环境下与花青素协同抗氧化
crop_green_oakleaf_lettuce,绿橡叶生菜 (绿珊瑚/散叶沙拉),萨拉诺瓦绿橡 (Salanova Green Oakleaf),叶黄素,lutein,2.8,1.6,mg/100g,鲜重 (直接食用形态),理论攻关与战略储备 (中长期光配方研发),Food Chemistry (2017) & GB 5009.83-2016,视网膜黄斑区重要保护色素
crop_green_oakleaf_lettuce,绿橡叶生菜 (绿珊瑚/散叶沙拉),萨拉诺瓦绿橡 (Salanova Green Oakleaf),维生素C,vitamin_c,20.0,12.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册,水培生菜优质营养代表
crop_romaine_lettuce,罗马生菜 (凯撒生菜/长叶生菜),直立绿罗马 (Verte Maraichere),β-胡萝卜素,beta_carotene,1800.0,1200.0,μg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-015),直立深绿叶色富含胡萝卜素，体内转化为维生素A
crop_romaine_lettuce,罗马生菜 (凯撒生菜/长叶生菜),直立绿罗马 (Verte Maraichere),维生素C,vitamin_c,26.0,18.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册,较普通散叶生菜具备更强抗氧化基础
crop_sabah_snake_grass,忧遁草 (优盾草/鳄嘴花/青箭草/沙巴蛇草),华南大叶优盾草 (特选扦插苗),总黄酮 (以芦丁计),total_flavonoids,550.0,380.0,mg/100g,干重 (烘干脱水干样),第三方权威实验室送检 (国标法定检验),《热带农业科学》2018年第38卷《不同产地忧遁草总黄酮含量比较》& DBS 46/002-2019,【权威干重红线】鳄嘴花核心活性成分，设施强光UV调控促进合成
crop_sabah_snake_grass,忧遁草 (优盾草/鳄嘴花/青箭草/沙巴蛇草),华南大叶优盾草 (特选扦插苗),粗蛋白质,crude_protein,21.0,17.5,g/100g,干重 (烘干脱水干样),第三方权威实验室送检 (国标法定检验),GB 5009.5-2016 食品中蛋白质测定 & 华南农业大学分析测试中心,干物质中富含游离氨基酸与优质植物蛋白
crop_sabah_snake_grass,忧遁草 (优盾草/鳄嘴花/青箭草/沙巴蛇草),华南大叶优盾草 (特选扦插苗),三萜类化合物 (羽扇豆醇等),triterpenoids,18.0,12.0,mg/g,干重 (烘干脱水干样),理论攻关与战略储备 (中长期光配方研发),Chinese Herbal Medicines (2020) 鳄嘴花抗炎保肝三萜成分研究,药用植物学特征标志物，中长期谱图定性与光谱调优方向
crop_xuetongcai,血通菜 (宽叶十万错/活力菜/赤道樱草),华南栽培型宽叶十万错 (特选丰产系),铁元素 (Fe),iron,3.8,2.8,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《华南农业大学学报》宽叶十万错营养成分分析 & 《中国食物成分表》第6版野菜类,民间俗称血通菜/补血菜，富含有机铁
crop_xuetongcai,血通菜 (宽叶十万错/活力菜/赤道樱草),华南栽培型宽叶十万错 (特选丰产系),β-胡萝卜素,beta_carotene,4200.0,3200.0,μg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB 5009.83-2016 食品中胡萝卜素测定,天然深绿微红叶质富含高浓度胡萝卜素
crop_xuetongcai,血通菜 (宽叶十万错/活力菜/赤道樱草),华南栽培型宽叶十万错 (特选丰产系),维生素C,vitamin_c,38.0,28.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB 5009.86-2016,优良抗氧化支持
crop_gynura_divaricata,片仔癀草 (白凤菜/白背三七/肝炎草),漳州农家白凤菜,总黄酮,total_flavonoids,420.0,310.0,mg/100g,干重 (烘干脱水干样),第三方权威实验室送检 (国标法定检验),《福建中医药大学学报》2019年《白凤菜总黄酮提取及体外抗氧化活性》,白凤菜/片仔癀草主要功效活性物质，干重基准
crop_gynura_divaricata,片仔癀草 (白凤菜/白背三七/肝炎草),漳州农家白凤菜,绿原酸,chlorogenic_acid,180.0,120.0,mg/100g,干重 (烘干脱水干样),理论攻关与战略储备 (中长期光配方研发),《天然产物研究与开发》菊三七属酚酸成分测定,重要酚酸类抗氧化与自由基清除标志物
crop_choy_sum,广东菜心 (油青菜心),四九油青菜心 (特选),维生素C,vitamin_c,48.0,35.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-008 菜苔),华南当家绿叶菜核心抗氧化营养
crop_choy_sum,广东菜心 (油青菜心),四九油青菜心 (特选),粗纤维 (低纤维控渣指标),crude_fiber,0.75,1.1,g/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB/T 5009.10-2003 植物类食品中粗纤维的测定,水培速生与精准水肥调控显著降低老筋木质化，保持顶级嫩度
crop_choy_sum,广东菜心 (油青菜心),四九油青菜心 (特选),钙元素 (Ca),calcium,110.0,96.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表》第6版第二册,水培高钙营养液调控促进骨骼健康
crop_spinach,大叶菠菜 (水培甜菠菜),日本大叶耐寒菠菜,草酸 (涩味与结石风险控制限量),oxalic_acid,380.0,850.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),NY/T 1278-2007 蔬菜及制品中草酸的测定 液相色谱法,水培技术颠覆传统土培菠菜高草酸缺陷，实现高安全免焯水生食
crop_spinach,大叶菠菜 (水培甜菠菜),日本大叶耐寒菠菜,维生素C,vitamin_c,42.0,32.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-018),低温与强光诱导显著提高抗坏血酸含量
crop_spinach,大叶菠菜 (水培甜菠菜),日本大叶耐寒菠菜,铁元素 (Fe),iron,3.1,2.7,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表》第6版第二册,典型高铁绿叶蔬菜
crop_garland_chrysanthemum,茼蒿菜 (花叶茼蒿/菊花菜),细叶芳香茼蒿,β-胡萝卜素,beta_carotene,2200.0,1510.0,μg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-026 茼蒿),深绿色芳香蔬菜胡萝卜素典型代表
crop_garland_chrysanthemum,茼蒿菜 (花叶茼蒿/菊花菜),细叶芳香茼蒿,钾元素 (K),potassium,280.0,220.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表》第6版第二册,辅助体内钠代谢平衡
crop_youmaicai,油麦菜 (牛俐油麦菜),特选四季香油麦菜,维生素C,vitamin_c,25.0,16.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-016),优质低热量高抗氧化日常叶菜
crop_youmaicai,油麦菜 (牛俐油麦菜),特选四季香油麦菜,钙元素 (Ca),calcium,85.0,70.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表》第6版第二册,温室补光促进钙素向上转运，大幅降低叶缘心腐病
crop_kale_curly,羽衣甘蓝 (科西嘉深绿卷叶),科西嘉卷叶 (Corsica Curly),维生素C,vitamin_c,95.0,68.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),USDA FoodData Central (FDC ID: 168421) & 《中国食物成分表》第6版,十字花科超强抗氧化明星，水培强化光合作用下达极高维C
crop_kale_curly,羽衣甘蓝 (科西嘉深绿卷叶),科西嘉卷叶 (Corsica Curly),钙元素 (Ca),calcium,160.0,128.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表》第6版第二册,植物界罕见的超高钙绿叶菜，易于人体吸收
crop_kale_curly,羽衣甘蓝 (科西嘉深绿卷叶),科西嘉卷叶 (Corsica Curly),叶黄素与玉米黄素,lutein,18.0,11.5,mg/100g,鲜重 (直接食用形态),理论攻关与战略储备 (中长期光配方研发),Journal of Food Composition and Analysis (2019),深层护眼抗蓝光天然抗氧化网络中枢
